label,rows,mae,rmse,mape,smape
RE-017,745,3.636425097981908,5.275326409970303,26.419949982403573,21.401489241225104
RE-004,745,3.6454298944009897,5.234427753562395,27.949342993642173,22.417373288322658
MI-026,751,3.631165050002669,5.100953848564609,29.180251252958023,22.454765821341997
YO-009,736,3.9660810181030386,5.629037049248843,27.57185283474624,22.740876228221026
RE-007,749,3.5952651278032217,4.781720308188649,27.89532887074117,22.963892130878357
RE-025,743,3.5937117118696182,5.062305001501996,28.82325348286624,23.22124888575231
MI-008,734,5.124101128702487,7.148389507633287,28.438767163988544,23.31571315714629
MI-022,723,3.873069611099637,5.448881217891256,28.144443215530007,23.39199019112449
MI-023,737,3.723382977844357,5.155941676124218,32.36515482130088,23.643399059717307
YO-003,753,4.0394651258454735,5.472194191004481,29.793750020563486,23.798606842050496
YO-005,735,3.7094773001786963,5.233192183386695,33.31620998551849,23.819210061878223
YO-024,716,5.511531143273635,8.337281304662689,28.342147135553112,23.847325878777177
YO-014,729,3.6156926270390355,5.039235048503066,30.66621133526275,24.212409088212883
YO-012,731,4.076895463579179,5.772698131779397,31.352387110961942,24.238583946094447
YO-029,716,4.010482473046863,5.513149612079137,33.07389655553936,24.29431590583509
MI-006,736,3.2868406622591193,4.487462555476061,29.35186615090619,24.35931481358937
SN-027,728,4.312993682397581,6.090993655097334,29.51592991277623,24.46678520847869
YO-020,718,4.6135145656312195,6.723012653293907,28.780224380140652,24.79824360188501
JU-021,735,3.7274205988563747,5.11595765937376,31.614352139708934,24.93812620975178
SN-013,732,4.72604583257186,6.6744571780261674,32.551250282940494,25.514080035260395
YO-018,718,5.5183907464796675,7.684204273368297,35.01945265707877,25.65389931421584
RE-015,734,3.8011778934662677,5.306244940134153,38.48774527837056,26.533431538705994
SN-010,738,5.309034626839788,7.428791488222514,30.020944381838998,26.559805681585985
SN-030,717,6.2184453530199795,8.406815108881956,34.46566733455025,26.72304505064481
YO-016,727,4.054377312283732,5.350702092057135,33.36867489515637,27.197533304572826
YO-001,730,4.203233122762553,5.778932108980876,37.6994090137637,28.11472293720973
SN-028,720,6.552213593504962,8.81580447077046,36.933610459923834,28.583856141586278
MI-002,737,5.579234863001407,7.714193278114085,30.974003890200898,29.662187762393565
SN-019,726,6.02855436583396,8.383069474669144,33.06928117373589,31.300163874657194
MI-011,749,8.365329192526758,10.91248099017092,37.22398712803416,45.562827896170695
